127.0.0.1 - - [27/Feb/2024:19:40:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:40:19 +0900] "GET /SemiProject_01/ HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:40:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:40:43 +0900] "GET /SemiProject_01/brandDetail HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:40:48 +0900] "GET /SemiProject_01/brandDetail.do HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:40:56 +0900] "GET /SemiProject_01/brandDetail HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:41 +0900] "GET /SemiProject_01/main.do HTTP/1.1" 200 6606
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:41 +0900] "GET /SemiProject_01/images/Adidas_loggo.png HTTP/1.1" 200 21023
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:41 +0900] "GET /SemiProject_01/images/Nike_loggo.png HTTP/1.1" 200 32823
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:41 +0900] "GET /SemiProject_01/css/main.css HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:41 +0900] "GET /SemiProject_01/images/Mschf_loggo.png HTTP/1.1" 200 28669
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:44 +0900] "GET /SemiProject_01/menu2.do HTTP/1.1" 200 7657
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:44 +0900] "GET /SemiProject_01/images/p01.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:44 +0900] "GET /SemiProject_01/images/%EC%97%90%EC%96%B4%ED%8F%AC%EC%8A%A4%EB%B8%94%EB%9E%991.jpeg HTTP/1.1" 404 897
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:44 +0900] "GET /SemiProject_01/images/%EB%82%98%EC%9D%B4%ED%82%A4%20%EC%97%90%EC%96%B4%EB%A7%A5%EC%8A%A4%2098%20black.jpg HTTP/1.1" 404 920
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:44 +0900] "GET /SemiProject_01/images/%EB%82%98%EC%9D%B4%ED%82%A4%20%EC%97%90%EC%96%B4%EB%A7%A5%EC%8A%A4%2095.jpg HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:44 +0900] "GET /SemiProject_01/images/%EB%82%98%EC%9D%B4%ED%82%A4%20%EC%97%90%EC%96%B4%EB%A7%A5%EC%8A%A4%2095black.jpg HTTP/1.1" 404 917
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:44 +0900] "GET /SemiProject_01/images/%EB%82%98%EC%9D%B4%ED%82%A4%20%EC%BD%94%EB%B9%846red.webp HTTP/1.1" 404 894
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:44 +0900] "GET /SemiProject_01/images/coding.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:44 +0900] "GET /SemiProject_01/images/%EC%97%85%ED%85%9C%ED%8F%ACblack.jpeg HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:44 +0900] "GET /SemiProject_01/images/%EB%82%98%EC%9D%B4%ED%82%A4%20%EB%8D%A9%ED%81%AC%20%EB%A1%9C%EC%9A%B0blue.webp HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:44 +0900] "GET /SemiProject_01/images/%EC%A1%B0%EB%8D%981red.webp HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:44 +0900] "GET /SemiProject_01/images/%EB%82%98%EC%9D%B4%ED%82%A4%20%EB%8D%A9%ED%81%AC%20%EB%A1%9C%EC%9A%B0red.webp HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:46 +0900] "GET /SemiProject_01/menu3.do HTTP/1.1" 200 7142
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:46 +0900] "GET /SemiProject_01/images/%EC%8A%88%ED%8D%BC%EC%8A%A4%ED%83%80%20black.jpeg HTTP/1.1" 404 886
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:46 +0900] "GET /SemiProject_01/images/%ED%8F%AC%EB%9F%BC%EB%B3%BC%ED%8A%B8.jpg HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:46 +0900] "GET /SemiProject_01/images/%EC%95%84%EB%94%94%EB%8B%A4%EC%8A%A4%20%EB%B0%9C%EB%A0%8C%EC%8B%9C%EC%95%84%EA%B0%80%20%EC%8A%A4%ED%94%BC%EB%93%9C%EB%9F%AC%EB%84%88.png HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:46 +0900] "GET /SemiProject_01/images/%EC%BA%A0%ED%8D%BC%EC%8A%A42%20%EB%B8%94%EB%9E%99jpeg.jpeg HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:46 +0900] "GET /SemiProject_01/images/%EC%8A%88%ED%8D%BC%EC%8A%A4%ED%83%80%20white.jpeg HTTP/1.1" 404 886
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:46 +0900] "GET /SemiProject_01/images/%EC%8A%A4%ED%85%90%EC%8A%A4%EB%AF%B8%EC%8A%A4%20green.jpg HTTP/1.1" 404 894
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:46 +0900] "GET /SemiProject_01/images/%EC%82%BC%EB%B0%94%20brown.avif HTTP/1.1" 404 868
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:46 +0900] "GET /SemiProject_01/images/%ED%8F%AC%EB%9F%BC%EB%A1%9C%EC%9A%B0%20green.jpg HTTP/1.1" 404 885
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:46 +0900] "GET /SemiProject_01/images/%ED%8F%AC%EB%9F%BC%EB%A1%9C%EC%9A%B0%20blue.jpg HTTP/1.1" 404 884
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:47 +0900] "GET /SemiProject_01/menu1.do HTTP/1.1" 200 13304
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:47 +0900] "GET /SemiProject_01/images/%EB%82%98%EC%9D%B4%ED%82%A4%20%EC%97%90%EC%96%B4%EB%A7%A5%EC%8A%A4%2095.jpg HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:47 +0900] "GET /SemiProject_01/images/%EC%97%90%EC%96%B4%ED%8F%AC%EC%8A%A4%EB%B8%94%EB%9E%991.jpeg HTTP/1.1" 404 897
0:0:0:0:0:0:0:1 - - [27/Feb/2024:19:41:47 +0900] "GET /SemiProject_01/images/p01.png HTTP/1.1" 404 844
